team_name,year,wins,losses,winning_percentage
Toronto Blue Jays,2025,94,68,0.58
New York Yankees,2025,94,68,0.58
Boston Red Sox,2025,87,71,0.551
Tampa Bay Rays,2025,77,85,0.475
Baltimore Orioles,2025,75,87,0.463
Cleveland Guardians,2025,88,74,0.543
Detroit Tigers,2025,87,75,0.537
Minnesota Twins,2025,70,92,0.432
Kansas City Royals,2025,82,80,0.506
Seattle Mariners,2025,90,72,0.556
Houston Astros,2025,87,75,0.537
Texas Rangers,2025,81,81,0.5
Oakland Athletics,2025,76,86,0.469
Los Angeles Angels,2025,72,90,0.444
Philadelphia Phillies,2025,96,66,0.593
New York Mets,2025,83,79,0.512
Miami Marlins,2025,79,83,0.488
Atlanta Braves,2025,76,86,0.469
Washington Nationals,2025,66,96,0.407
Milwaukee Brewers,2025,97,65,0.599
Chicago Cubs,2025,92,70,0.568
Cincinnati Reds,2025,83,79,0.512
St. Louis Cardinals,2025,78,84,0.481
Pittsburgh Pirates,2025,71,91,0.437
Los Angeles Dodgers,2025,93,69,0.574
San Diego Padres,2025,90,72,0.556
San Francisco Giants,2025,81,81,0.5
Arizona Diamondbacks,2025,80,82,0.494
Colorado Rockies,2025,43,119,0.265
